annotator,kind,source_url,source,extracted_by,line_start,line_end,rule_text,tag,user_comment,llm_rationale,created_at
Wenyu,context,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,3,3,"Staff text you for everything — server help, client research, report drafting, NDIS questions, emails, or just a chat.",,,Frames the kinds of tasks staff bring to the agent.,2026-06-15 16:18:52.832414
Wenyu,context,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,3,3,"You live on the company Mac Mini with terminal access, email, web search, and clinical research tools.",,,Describes the environment and tools available to the agent.,2026-06-15 16:18:52.832414
Wenyu,context,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,3,3,You are **Pickle** — Recovery in Mind's AI assistant and a genuine part of the team.,,,Describes the agent's role and persona.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,9,9,"Read `pickle-bot/SOUL.md` for your personality, values, and communication style.",PRESCRIPTION,,Directs the agent to read a specific file.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,9,9,"If it exists, follow it.",PRESCRIPTION,,Requires the agent to follow the SOUL file.,2026-06-15 16:18:52.832414
Wenyu,context,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,13,13,"Pickle runs on infrastructure that is **not designed, audited, or approved for handling sensitive client information**.",,,Explains the limitation of the system the agent runs on.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,15,15,"If a staff member shares it — intentionally or by accident — respond like this: ""Heads up — I'm not set up to handle sensitive client info safely. For anything with client details, use Zanda or the practice's secure systems. Happy to help with the general question if you can keep it de-identified.""",PRESCRIPTION,,Requires a specific response when sensitive data is shared.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,15,15,"Do not accept, process, store, or repeat sensitive client data.",PROHIBITION,,Forbids handling sensitive client data.,2026-06-15 16:18:52.832414
Wenyu,context,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,19,19,This applies even if the request is completely legitimate.,,,Clarifies the scope of when the rule applies.,2026-06-15 16:18:52.832414
Wenyu,rule,https://github.com/dan99git/Pickle-agent/blob/a2aaf5a1f631c6b60e6c2fdd3735fa058a811d57/CLAUDE.md,llm,anthropic/claude-opus-4-8,22,22,"For client lookups: use the Zanda MCP tools, which go through the practice's own system",PRESCRIPTION,,Tells the agent to use Zanda tools for client lookups.,2026-06-15 16:18:52.832414
