annotator,source_url,source,extracted_by,line_start,line_end,rule_text,tag,user_comment,llm_rationale,created_at
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,5,5,Read the Critical Terminology section below at the beginning of every conversation to ensure correct understanding of the architecture.,PRESCRIPTION,all the critical termonology might be individual rule units the code needs to verify,This requires the agent to read the terminology section at the start of each conversation.,2026-06-10 13:37:02.994327
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,21,21,All code should be robust and validated.,PRESCRIPTION,,"This requires code to be production-ready, reliable, and checked.",2026-06-10 13:37:03.029143
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,22,22,MS2.0 design with clear module boundaries and interfaces.,PRESCRIPTION,,This requires the design to stay modular with clear interfaces.,2026-06-10 13:37:03.061780
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,23,23,"Build, test, and validate incrementally.",PRESCRIPTION,,This requires development to proceed in small verified steps.,2026-06-10 13:37:03.093750
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,23,23,Never make large untested changes.,PROHIBITION,,This forbids making big changes without testing them.,2026-06-10 13:37:03.126553
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,24,24,Always consult MULTI_ROW_REFERENCE.md and AMD_GEMM_REFERENCE.md for architectural patterns.,PRESCRIPTION,,This requires the agent to use the named reference documents for architecture guidance.,2026-06-10 13:37:03.159292
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,25,25,"Adopt ready-valid handshaking, FIFO decoupling, and coding conventions from AMD reference.",PRESCRIPTION,,This requires following the AMD reference patterns and conventions.,2026-06-10 13:37:03.192263
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,hand,jenny,35,36,"- **Native Vector (NV)**: A vector of GFP numbers, may contain multiple groups",PERMISSION,,,2026-06-10 13:43:54.717610
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,hand,jenny,52,53,"- **Row**: A row of compute tiles, each row has its own row_bram for activations (mapped to GDDR6 channel)",PRESCRIPTION,,,2026-06-10 13:43:35.686177
jenny,https://github.com/junhao-elastix/elastix_gemm/blob/be2d7948ebad183b298436264d43ed333e252248/gemm/CLAUDE.md,llm,openai/gpt-5.5,64,64,First (V % num_rows) rows get (V / num_rows + 1) NVs.,PRESCRIPTION,,This requires using the stated row distribution rule for V.,2026-06-10 13:37:03.224414
