annotator,kind,source_url,source,extracted_by,line_start,line_end,rule_text,tag,user_comment,llm_rationale,created_at
Wenyu,context,https://github.com/adamglang/sovereign-core/blob/68a0396bd26d88301d59c9fec20bfe7494ea75e8/.clinerules,revise,anthropic/claude-opus-4-8,3,3,**Applies to:** All Roo agents and tasks in this repository.,,,"It states the scope of these rules, background context.",2026-06-15 15:06:35.800200
Wenyu,context,https://github.com/adamglang/sovereign-core/blob/68a0396bd26d88301d59c9fec20bfe7494ea75e8/.clinerules,revise,anthropic/claude-opus-4-8,6,6,"Provide always-on, repository-wide guidance to ensure consistency, minimal-comment practices, and coherent architecture.",,,"It describes the purpose of the document, background context.",2026-06-15 15:06:35.800200
Wenyu,rule,https://github.com/adamglang/sovereign-core/blob/68a0396bd26d88301d59c9fec20bfe7494ea75e8/.clinerules,hand,Wenyu,10,10,No silent downgrades / no janky workarounds (highest priority),PROHIBITION,Prohibition or preference?,,2026-06-09 13:46:18.557911
Wenyu,rule,https://github.com/adamglang/sovereign-core/blob/68a0396bd26d88301d59c9fec20bfe7494ea75e8/.clinerules,revise,anthropic/claude-opus-4-8,10,10,No silent downgrades / no janky workarounds (highest priority),PROHIBITION,,"It forbids silent downgrades and janky workarounds, so it's a prohibition.",2026-06-15 15:06:35.800200
Wenyu,rule,https://github.com/adamglang/sovereign-core/blob/68a0396bd26d88301d59c9fec20bfe7494ea75e8/.clinerules,hand,Wenyu,11,11,"**NEVER ""fix"" errors by disabling, downgrading, or bypassing core features** (e.g., turning off GPU/CUDA, reducing quality, changing defaults, switching to CPU).",PROHIBITION,"Need to know concrete definition of ""core feature""",,2026-06-09 13:47:50.997145
Wenyu,rule,https://github.com/adamglang/sovereign-core/blob/68a0396bd26d88301d59c9fec20bfe7494ea75e8/.clinerules,revise,anthropic/claude-opus-4-8,11,11,"**NEVER ""fix"" errors by disabling, downgrading, or bypassing core features** (e.g., turning off GPU/CUDA, reducing quality, changing defaults, switching to CPU).",PROHIBITION,,"It says never do these things, which is a clear prohibition.",2026-06-15 15:06:35.800200
Wenyu,context,https://github.com/adamglang/sovereign-core/blob/68a0396bd26d88301d59c9fec20bfe7494ea75e8/.clinerules,hand,Wenyu,13,14,**If a failure is caused by missing or misconfigured dependencies:**,,condition,,2026-06-15 14:57:07.242729
Wenyu,context,https://github.com/adamglang/sovereign-core/blob/68a0396bd26d88301d59c9fec20bfe7494ea75e8/.clinerules,revise,anthropic/claude-opus-4-8,13,13,**If a failure is caused by missing or misconfigured dependencies:**,,,"This is a framing header for the steps that follow, not a directive itself.",2026-06-15 15:06:35.800200
Wenyu,rule,https://github.com/adamglang/sovereign-core/blob/68a0396bd26d88301d59c9fec20bfe7494ea75e8/.clinerules,hand,Wenyu,14,15,"1. **Attempt a real fix** - correct package, version, PATH, provider, config",PRESCRIPTION,Give direction but vague,,2026-06-09 19:26:08.227275
Wenyu,rule,https://github.com/adamglang/sovereign-core/blob/68a0396bd26d88301d59c9fec20bfe7494ea75e8/.clinerules,revise,anthropic/claude-opus-4-8,14,14,"1. **Attempt a real fix** - correct package, version, PATH, provider, config",PRESCRIPTION,,"It directs you to attempt a real fix, which is a required action.",2026-06-15 15:06:35.800200
Wenyu,rule,https://github.com/adamglang/sovereign-core/blob/68a0396bd26d88301d59c9fec20bfe7494ea75e8/.clinerules,hand,Wenyu,15,19,"2. **If the fix requires system installs or user action, STOP and report:**
   - Exactly what is missing
   - Why it's missing
   - How to install/verify it
   - Commands to diagnose the current state",PRESCRIPTION,Hook on system installs/user action,,2026-06-09 13:49:55.376966
Wenyu,rule,https://github.com/adamglang/sovereign-core/blob/68a0396bd26d88301d59c9fec20bfe7494ea75e8/.clinerules,revise,anthropic/claude-opus-4-8,15,19,"2. **If the fix requires system installs or user action, STOP and report:**
   - Exactly what is missing
   - Why it's missing
   - How to install/verify it
   - Commands to diagnose the current state",PRESCRIPTION,,"It mandates stopping and reporting specific details, so it's prescriptive.",2026-06-15 15:06:35.800200
Wenyu,rule,https://github.com/adamglang/sovereign-core/blob/68a0396bd26d88301d59c9fec20bfe7494ea75e8/.clinerules,hand,Wenyu,21,23,"**Fallbacks (CPU, reduced mode, mocks) are allowed ONLY if:**
- Explicitly requested by the user, OR
- Already defined as an opt-in mode",PERMISSION,A permission inside a previously prohibition. Referencing to line 10,,2026-06-09 13:51:04.354066
Wenyu,rule,https://github.com/adamglang/sovereign-core/blob/68a0396bd26d88301d59c9fec20bfe7494ea75e8/.clinerules,revise,anthropic/claude-opus-4-8,21,23,"**Fallbacks (CPU, reduced mode, mocks) are allowed ONLY if:**
- Explicitly requested by the user, OR
- Already defined as an opt-in mode",PERMISSION,,It grants permission for fallbacks only under certain conditions.,2026-06-15 15:06:35.800200
Wenyu,rule,https://github.com/adamglang/sovereign-core/blob/68a0396bd26d88301d59c9fec20bfe7494ea75e8/.clinerules,hand,Wenyu,25,25,Defaults must remain on the best-supported path.,PRESCRIPTION,,,2026-06-09 13:53:46.396032
Wenyu,rule,https://github.com/adamglang/sovereign-core/blob/68a0396bd26d88301d59c9fec20bfe7494ea75e8/.clinerules,hand,Wenyu,25,25,"Never silently degrade behavior to ""make it work.",PROHIBITION,,,2026-06-09 13:53:54.528416
Wenyu,rule,https://github.com/adamglang/sovereign-core/blob/68a0396bd26d88301d59c9fec20bfe7494ea75e8/.clinerules,revise,anthropic/claude-opus-4-8,25,25,Defaults must remain on the best-supported path.,PRESCRIPTION,,"It requires defaults to stay on the best path, so it's a must.",2026-06-15 15:06:35.800200
Wenyu,rule,https://github.com/adamglang/sovereign-core/blob/68a0396bd26d88301d59c9fec20bfe7494ea75e8/.clinerules,revise,anthropic/claude-opus-4-8,25,25,"Never silently degrade behavior to ""make it work.",PROHIBITION,,"It bars silently degrading behavior, which is a prohibition.",2026-06-15 15:06:35.800200
Wenyu,rule,https://github.com/adamglang/sovereign-core/blob/68a0396bd26d88301d59c9fec20bfe7494ea75e8/.clinerules,hand,Wenyu,28,28,"Before writing new code which establishes a new pattern, dev practice, minor architecture solution, algorithm, or UI technique, proactively search the repo for existing patterns, utilities, or implementations that solve a similar problem.",PRESCRIPTION,"the trigger is a bit vague (what is new code), action is clear, search term is vague",,2026-06-09 13:54:59.460002
