annotator,source_url,source,extracted_by,line_start,line_end,rule_text,tag,user_comment,llm_rationale,created_at
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,llm,anthropic/claude-sonnet-4-6,10,10,"You will review, refactor as needed, and ensure all of the code is working, fully-functional, well-designed, modular, responsive, and ready for production.",PRESCRIPTION,,"The agent is required to review, refactor, and ensure code meets production-ready standards.",2026-06-10 13:22:20.970567
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,llm,anthropic/claude-sonnet-4-6,14,14,You always follow best practices.,PRESCRIPTION,what are best practices? this loooks liek a parent rule,The agent must always adhere to best practices when writing code.,2026-06-10 13:22:21.005904
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,llm,anthropic/claude-sonnet-4-6,15,15,First think very deeply and thoroughly step-by-step - describe your careful and systematic plan for what to build in great detail.,PRESCRIPTION,"vague, need examples of synthetic plan",The agent is required to think through and describe a detailed plan before building anything.,2026-06-10 13:22:21.044383
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,hand,jenny,17,18,### Core Workflow: Research → Plan → Implement → Validate,PREFERENCE,dpeendent on the parent rule of research->plan->implement->validate,,2026-06-10 13:24:30.978438
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,llm,anthropic/claude-sonnet-4-6,19,19,"Start every feature with: ""Let me research the codebase and create a plan before implementing.""",PRESCRIPTION,"line below has relevant info 

In chat, this takes the form of asking the clarifying questions about their goals and process/progress before proceeding.",The agent must begin every feature by researching the codebase and creating a plan.,2026-06-10 13:22:21.077308
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,llm,anthropic/claude-sonnet-4-6,20,20,Research - Understand existing patterns and architecture through systematic file exploration,PRESCRIPTION,,The agent is required to systematically explore files to understand existing patterns and architecture.,2026-06-10 13:22:21.110686
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,llm,anthropic/claude-sonnet-4-6,21,21,Plan - Propose approach with architectural reasoning and verify with me if uncertain,PRESCRIPTION,,The agent must propose an approach with reasoning and check with the user when uncertain.,2026-06-10 13:22:21.143500
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,llm,anthropic/claude-sonnet-4-6,22,22,"Implement - Build complete, production-ready solutions with tests and error handling",PRESCRIPTION,,"The agent is required to build complete, production-ready solutions that include tests and error handling.",2026-06-10 13:22:21.176109
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,hand,jenny,22,23,2. **Plan** - Propose approach with architectural reasoning and verify with me if uncertain,,dpeendent on the parent rule of research->plan->implement->validate,,2026-06-10 13:25:29.069077
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,llm,anthropic/claude-sonnet-4-6,23,23,"Validate - ALWAYS run formatters, linters, and tests after implementation",PRESCRIPTION,,"The agent must always run formatters, linters, and tests after finishing an implementation.",2026-06-10 13:22:21.208842
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,hand,jenny,24,25,"4. **Validate** - ALWAYS run formatters, linters, and tests after implementation",PRESCRIPTION,dependent on the parent rule of research->plan->implement->validate,,2026-06-10 13:25:48.916918
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,llm,anthropic/claude-sonnet-4-6,29,29,"If we fail to achieve our goal within three tries (whether due to error messages or other issues), stop, step back, and reflect on precisely what information you need from me to best assist.",PRESCRIPTION,"context, this is ### 3-Try Rule for Terminal/Script Execution",The agent must stop and gather needed information from the user after three failed attempts instead of continuing blindly.,2026-06-10 13:22:21.241249
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,llm,anthropic/claude-sonnet-4-6,29,29,"Rather than blindly reaching for solutions, intelligently gather information - ask for code output, files, context, or whatever else is necessary.",PRESCRIPTION,related to rule above and overall about ### 3-Try Rule for Terminal/Script Execution,The agent is required to gather relevant information intelligently rather than guessing at solutions.,2026-06-10 13:22:21.276111
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,llm,anthropic/claude-sonnet-4-6,33,33,Attempt one logical fix per error before asking for guidance,PRESCRIPTION,related to ### Systematic Debugging Process,The agent must try one logical fix for each error before seeking user guidance.,2026-06-10 13:22:21.313615
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,llm,anthropic/claude-sonnet-4-6,34,34,Add and verify logs to validate assumptions,PRESCRIPTION,related to ### Systematic Debugging Process,The agent is required to add and verify logs to confirm its assumptions during debugging.,2026-06-10 13:22:21.375408
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,llm,anthropic/claude-sonnet-4-6,34,34,"When stuck: ""Reflect on 5-7 different possible sources of the problem, distill those down to 1-2 most likely sources, and then add logs to validate your assumptions before implementing the actual code fix""",PRESCRIPTION,related to ### Systematic Debugging Process,The agent is required to analyze multiple problem sources and validate assumptions with logs before applying a fix.,2026-06-10 13:22:21.449275
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,llm,anthropic/claude-sonnet-4-6,35,35,"If first try fails, show and explain error outputs",PRESCRIPTION,related to ### Systematic Debugging Process,The agent must show and explain error outputs when the first fix attempt does not succeed.,2026-06-10 13:22:21.409693
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,hand,jenny,38,42,"### Step-by-Step Planning
- Detailed pseudocode before implementation
- Root cause analysis over quick fixes
- Extensive planning before action with systematic methodology",PREFERENCE,feles softer? also super vageu,,2026-06-10 13:27:25.942993
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,hand,jenny,46,47,"- Professional yet direct tone, content-first with minimal fluff",PREFERENCE,,,2026-06-10 13:27:39.900950
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,hand,jenny,47,48,- Structured responses with clear formatting,PREFERENCE,,,2026-06-10 13:27:43.753026
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,hand,jenny,48,49,- Support learning process and treat mistakes as growth opportunities,PREFERENCE,,,2026-06-10 13:27:46.209054
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,llm,anthropic/claude-sonnet-4-6,49,49,Directly point out mistakes in reasoning rather than softening corrections,PRESCRIPTION,,The agent must be direct about reasoning errors rather than softening its feedback.,2026-06-10 13:22:21.481690
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,llm,anthropic/claude-sonnet-4-6,50,50,Don't end with opt-in follow-up suggestions unless specifically relevant,PROHIBITION,,The agent must not append optional follow-up suggestions at the end of responses unless they are specifically relevant.,2026-06-10 13:22:21.515466
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,hand,jenny,54,62,"Unless answering a quick question, start responses with:

```
**Language > Specialist**: {programming language used} > {the subject matter EXPERT SPECIALIST role}
**Includes**: CSV list of needed libraries, packages, and key language features if any
**Requirements**: qualitative description of VERBOSITY, standards, and the software design requirements
## Plan
Briefly list your step-by-step plan, including any components that won't be addressed yet
```",PRESCRIPTION,this all feels like a rule! and relevant,,2026-06-10 13:28:30.247757
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,hand,jenny,66,80,"End responses with:

```
---

**History**: complete, concise, and compressed summary of ALL requirements and ALL code you've written

**Source Tree**: 
- (💾=saved: link to file, ⚠️=unsaved but named snippet, 👻=no filename) file.ext
- 📦 Class (if exists)
    - (✅=finished, ⭕️=has TODO, 🔴=otherwise incomplete) symbol
- 🔴 global symbol

**Next Task**: NOT finished=short description of next task | FINISHED=list EXPERT SPECIALIST suggestions for enhancements/performance improvements
```",PREFERENCE,,,2026-06-10 13:29:45.369565
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,llm,anthropic/claude-sonnet-4-6,85,85,Code must start with path/filename as a one-line comment,PRESCRIPTION,all realted to coding standards general rule,The agent must include the file path and name as a comment at the top of every code block.,2026-06-10 13:22:21.646311
jenny,https://github.com/Zaki-1052/GPTPortal/blob/36f4cfd128a025b76f0224b5814f99bff5e49c8c/RULES.md,llm,anthropic/claude-sonnet-4-6,86,86,"Comments MUST describe purpose, not effect",PRESCRIPTION,all realted to coding standards general rule,"The agent is required to write comments that explain why code exists, not what it mechanically does.",2026-06-10 13:22:21.707009
